order_id,customer_email,billing_country,shipping_country,amount,is_first_time_buyer,payment_avs_result,payment_cvv_result,num_orders_last_7_days,chargeback_flag
1,etnrzo@yahoo.com,AU,AU,1374.55,1,Y,Y,1,1
2,kajkfc@protonmail.com,US,CA,1596.6,1,Y,Y,1,1
3,xuiwdd@yahoo.com,CA,CA,174.9,0,Y,Y,2,0
4,hwmshl@gmail.com,CA,IN,440.9,0,Y,N,3,1
5,odxatt@yahoo.com,UK,UK,78.57,0,Y,N,2,1
6,xfezbb@protonmail.com,CA,CA,691.51,1,N,Y,1,1
7,bogeus@protonmail.com,CA,IN,197.09,0,Y,Y,1,0
8,tahvxx@outlook.com,US,IN,1970.37,1,Y,Y,4,1
9,vbhiqa@gmail.com,AU,IN,914.84,0,Y,Y,1,1
10,vnyhuk@gmail.com,CA,CA,77.32,1,Y,Y,3,1
11,nywttk@yahoo.com,CA,IN,34.37,0,Y,Y,2,1
12,qduobp@yahoo.com,UK,UK,99.11,1,Y,Y,2,0
13,twrers@outlook.com,UK,UK,761.31,1,Y,Y,1,1
14,yneocx@yahoo.com,UK,UK,263.12,0,Y,Y,3,0
15,aqhyis@gmail.com,AU,AU,1496.9,0,Y,Y,1,1
16,fzchvd@yahoo.com,UK,UK,1094.99,0,Y,Y,3,1
17,uluuah@protonmail.com,US,US,226.34,0,Y,Y,0,0
18,alwrls@gmail.com,US,CA,422.2,1,Y,Y,2,0
19,rewlki@gmail.com,AU,AU,1262.15,0,Y,Y,4,1
20,olhtmb@protonmail.com,IN,AU,1043.81,1,Y,Y,5,1
21,gzeuhe@gmail.com,AU,UK,1049.7,0,Y,Y,1,1
22,nlwczf@gmail.com,CA,CA,134.28,1,Y,Y,5,1
23,wmtjwm@outlook.com,UK,UK,145.87,1,Y,Y,4,0
24,eafakx@gmail.com,IN,US,486.64,0,N,N,2,1
25,usrfuw@outlook.com,CA,CA,1550.38,1,Y,Y,2,0
26,kixdjt@yahoo.com,UK,UK,399.85,0,Y,N,1,0
27,gwfxbb@protonmail.com,AU,AU,557.33,1,Y,Y,5,1
28,swwogu@gmail.com,CA,CA,1013.3,0,Y,Y,1,1
29,xbhglc@outlook.com,AU,AU,171.93,0,Y,Y,2,0
30,ekwjvz@outlook.com,UK,UK,60.14,0,Y,Y,4,0
31,evrtrs@protonmail.com,IN,IN,280.09,0,Y,N,3,0
32,wakynd@protonmail.com,US,US,505.73,0,N,Y,3,0
33,przynr@yahoo.com,CA,CA,26.52,0,Y,Y,3,0
34,kwzgdu@outlook.com,AU,AU,248.75,0,Y,Y,2,0
35,uuwwjb@protonmail.com,AU,AU,100.03,0,Y,Y,3,0
36,yybokb@yahoo.com,UK,UK,239.57,1,N,Y,0,1
37,jgxdkp@gmail.com,US,UK,64.64,1,Y,Y,1,1
38,qccnqq@yahoo.com,IN,IN,466.13,1,Y,Y,1,0
39,hgyngi@protonmail.com,UK,UK,2115.65,0,Y,Y,3,1
40,njwcbq@gmail.com,CA,CA,336.67,1,Y,Y,1,0
41,yhxuaf@protonmail.com,UK,AU,193.09,1,N,Y,2,1
42,kkaywy@gmail.com,AU,AU,721.47,0,Y,Y,3,0
43,iqikdi@outlook.com,UK,AU,665.04,0,Y,Y,1,1
44,aytctd@protonmail.com,IN,UK,1961.96,0,Y,Y,4,1
45,oudhny@yahoo.com,IN,IN,268.41,1,Y,Y,0,0
46,ugopew@protonmail.com,US,IN,491.41,1,Y,N,1,1
47,ybupuc@outlook.com,UK,CA,1506.29,0,N,Y,3,1
48,qvdgxc@protonmail.com,UK,UK,555.46,0,Y,Y,1,0
49,ufvrzc@outlook.com,CA,CA,1014.35,0,Y,Y,1,1
50,hcikso@outlook.com,AU,AU,1947.74,1,Y,Y,2,0
51,thuvxa@gmail.com,IN,IN,1366.28,1,Y,Y,2,1
52,xpdnfw@protonmail.com,CA,CA,93.35,0,Y,N,4,1
53,wfroav@outlook.com,UK,UK,774.25,1,N,Y,4,1
54,fteoud@gmail.com,CA,CA,219.54,0,Y,Y,4,0
55,mbrjna@outlook.com,CA,CA,84.75,0,Y,Y,2,0
56,epafdr@outlook.com,CA,CA,212.65,0,Y,Y,3,0
57,ubxyir@outlook.com,CA,CA,154.43,0,N,Y,2,1
58,kuoiis@yahoo.com,UK,UK,1041.94,0,Y,Y,1,0
59,lvncxv@yahoo.com,IN,IN,107.67,0,Y,Y,1,1
60,labgcq@protonmail.com,IN,IN,464.87,0,Y,N,0,1
61,rkwmtb@outlook.com,IN,IN,640.71,0,Y,Y,2,1
62,cwfnzk@protonmail.com,UK,UK,582.27,1,Y,Y,0,0
63,eitrho@outlook.com,IN,IN,144.96,0,Y,Y,1,0
64,npoqml@gmail.com,AU,AU,531.48,1,Y,Y,3,0
65,errcnh@yahoo.com,US,US,223.0,0,Y,Y,3,0
66,mbhvmx@gmail.com,US,CA,171.02,0,N,Y,3,1
67,wsxbla@gmail.com,UK,UK,922.81,1,Y,Y,4,1
68,nkdulp@yahoo.com,AU,AU,338.82,0,Y,Y,2,0
69,mqoefy@yahoo.com,US,US,43.95,0,Y,Y,3,0
70,hhcwkj@protonmail.com,US,US,258.84,0,N,Y,1,0
71,sqorwt@protonmail.com,AU,AU,109.98,0,Y,Y,1,0
72,frekzo@protonmail.com,CA,IN,778.3,1,Y,Y,3,1
73,scqbmq@yahoo.com,US,US,181.39,1,Y,Y,4,0
74,ixnmbb@protonmail.com,CA,CA,455.5,0,N,Y,1,1
75,otrvag@yahoo.com,IN,IN,35.35,0,Y,Y,2,0
76,egthdj@yahoo.com,CA,US,596.47,1,Y,Y,2,1
77,ykeirq@protonmail.com,AU,AU,414.02,0,Y,N,1,1
78,ghalno@gmail.com,AU,AU,1230.49,0,Y,N,1,1
79,uzdixp@yahoo.com,UK,UK,268.34,1,N,N,1,1
80,itdqeh@gmail.com,US,US,45.34,0,Y,Y,1,0
